state,statefips,countyfips,county,latino_cvap_2020,latino_voted_2020,latino_turnout_2020_cvap,avg24_residual
IN,18,79,Jennings County,295,150,.50847459,
GA,13,303,Washington County,335,38,.11343284,
IL,17,117,Macoupin County,335,158,.47164178,
MN,27,57,Hubbard County,210,118,.56190479,
WV,54,79,Putnam County,380,183,.48157895,
NE,31,161,Sheridan County,160,47,.29374999,
WI,55,85,Oneida County,325,168,.51692307,
MT,30,5,Blaine County,160,41,.25624999,
VT,50,17,Orange County,280,146,.52142859,
ID,16,87,Washington County,665,415,.62406015,
NM,35,33,Mora County,3095,1597,.51599354,
KS,20,181,Sherman County,410,176,.4292683,
ID,16,79,Shoshone County,335,133,.39701492,
KY,21,33,Caldwell County,120,35,.29166666,
DC,11,1,District of Columbia,36670,15934,.43452415,-.04748087
MO,29,131,Miller County,205,116,.56585366,
TN,47,99,Lawrence County,420,40,.095238097,
CO,8,73,Lincoln County,950,265,.27894738,
GA,13,9,Baldwin County,555,140,.25225225,
VA,51,690,Martinsville city,295,75,.25423729,
AK,2,90,Fairbanks North Star Borough,5360,2554,.47649252,
OH,39,9,Athens County,845,294,.347929,
AL,1,123,Tallapoosa County,300,54,.18000001,
KY,21,89,Greenup County,240,53,.22083333,
MO,29,31,Cape Girardeau County,1025,505,.49268293,
TN,47,171,Unicoi County,445,63,.14157303,
KS,20,43,Doniphan County,150,66,.44,
FL,12,133,Washington County,600,92,.15333334,
ME,23,13,Knox County,380,132,.34736842,
KS,20,205,Wilson County,185,60,.32432431,
MO,29,127,Marion County,215,71,.33023256,
AR,5,21,Clay County,165,36,.21818182,
OH,39,131,Pike County,100,61,.61000001,
TN,47,55,Giles County,405,25,.061728396,
WI,55,125,Vilas County,260,130,.5,
GA,13,27,Brooks County,410,92,.22439024,
WV,54,45,Logan County,175,83,.47428572,
VA,51,640,Galax city,205,43,.20975609,
MT,30,89,Sanders County,250,114,.456,
WV,54,19,Fayette County,300,95,.31666666,
